Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_084.jpg;0;0;1;0;99.66999;85.58897;0.000250817;56.82556;4.366835E-07
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_145.jpg;0;0;0;0;99.66999;85.58897;0.0002499988;56.82556;1.929576E-07
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_217.jpg;-2.04237;0;0;0;99.66999;85.58897;0.000249371;56.70302;9.966923E-07
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_278.jpg;-6.069169;0;0;0;99.66999;85.58897;0.0002478872;55.47456;6.681043E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_344.jpg;-6.030461;0;0;0;99.66999;85.58897;0.000245293;54.27026;1.122385E-05
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_415.jpg;-2.027244;0;0;0;99.66999;85.58897;0.0002444516;53.66478;1.288199E-05
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_478.jpg;0;0;0;0;99.66999;85.58897;0.000241671;53.66478;1.006007E-05
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_545.jpg;0;0;0;0;99.66999;85.58897;0.0002396882;53.66478;8.230018E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_615.jpg;0;0;0;0;99.66999;85.58897;0.0002376538;53.66478;6.214585E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_679.jpg;0;0;0;0;99.66999;85.58897;0.000235568;53.66478;4.013769E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_745.jpg;0;0;0;0;99.66999;85.58897;0.0002343465;53.66478;2.602025E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_815.jpg;0;0;0;0;99.66999;85.58897;0.0002331582;53.66478;1.088875E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_879.jpg;0;0;0;0;99.66999;85.58897;0.0002315961;53.66478;-9.962559E-07
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_05_945.jpg;0;0;0;0;99.66999;85.58897;0.0002302232;53.66478;-2.289182E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_015.jpg;0;0;0;0;99.66999;85.58897;0.0002289018;53.66478;-3.396725E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_079.jpg;0;0;0;0;99.66999;85.58897;0.0002273428;53.66478;-4.806893E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_145.jpg;0;0.1912757;0;0.01921342;99.67082;85.59011;0.03082177;53.66617;-6.072299E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_214.jpg;0;0.3920197;0;0;99.67168;85.59126;0.06046821;53.65107;-3.181643E-06
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_282.jpg;0;0.6005781;0;0.02952583;99.67501;85.59581;0.1737756;53.74847;-0.0003439456
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_345.jpg;0;0.7978265;0;0.06294621;99.67905;85.60135;0.3039956;53.92819;-0.001188516
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_411.jpg;0;0.9909556;0;0.1190549;99.68532;85.60999;0.4925424;54.13452;-0.001274744
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_482.jpg;0;1;0;0.1730058;99.6968;85.62587;0.7903768;54.28008;-0.001204202
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_546.jpg;0;1;0;0.2171201;99.70789;85.6413;1.047921;54.40624;-0.001802031
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_612.jpg;0;1;0;0.2993528;99.721;85.65939;1.301209;54.37408;-3.661499E-05
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_682.jpg;0;1;0;0.31973;99.73703;85.68054;1.243846;54.45872;-0.0008469294
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_747.jpg;0;1;0;0.4005433;99.75088;85.69962;1.142206;54.46212;0.0003723726
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_811.jpg;0;1;0;0.4825026;99.76727;85.72227;1.110465;54.37395;-0.000513241
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_883.jpg;0;1;0;0.5118678;99.7923;85.75698;1.144863;54.35995;-0.0001020997
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_06_946.jpg;0;1;0;0.5592519;99.81336;85.7861;1.20647;54.44149;-0.00146009
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_011.jpg;0;1;0;0.6271309;99.83569;85.81715;1.238131;54.46611;-0.001460988
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_082.jpg;0;1;0;0.675413;99.86742;85.86117;1.21091;54.46532;-0.001214337
